ID_Encuesta,Fecha,Servicio,Puntuación_General,Atención,Rapidez,Precio,Recomendaría
ENC-00435,2024-03-05,Delivery,5,2,5,1,No
ENC-00436,2024-04-22,Post-Venta,4,3,1,4,No
ENC-00437,2024-04-28,Post-Venta,5,1,4,4,Sí
ENC-00438,2024-02-10,Post-Venta,5,4,1,4,No
ENC-00439,2024-04-26,Atención al Cliente,4,1,3,2,No
ENC-00440,2024-03-24,Soporte Técnico,6,5,3,2,No
ENC-00441,2024-01-15,Post-Venta,7,5,4,1,Sí
ENC-00442,2024-05-09,Soporte Técnico,6,1,5,2,No
ENC-00443,2024-05-04,Delivery,5,1,3,3,Sí
ENC-00444,2024-05-27,Post-Venta,4,4,1,1,No
ENC-00445,2024-06-11,Post-Venta,5,1,3,3,No
ENC-00446,2024-06-09,Atención al Cliente,6,1,4,4,No
ENC-00447,2024-01-08,Delivery,5,2,4,4,Sí
ENC-00448,2024-06-06,Delivery,7,5,2,2,Sí
ENC-00449,2024-05-30,Post-Venta,5,4,1,4,No
ENC-00450,2024-05-06,Atención al Cliente,9,5,4,5,Sí
ENC-00451,2024-04-01,Delivery,2,1,1,4,Sí
ENC-00452,2024-06-17,Soporte Técnico,3,2,1,2,Sí
ENC-00453,2024-04-17,Soporte Técnico,3,1,3,3,No
ENC-00454,2024-06-06,Delivery,2,2,1,1,No
ENC-00455,2024-04-07,Soporte Técnico,5,1,5,3,No
ENC-00456,2024-03-18,Post-Venta,8,4,3,4,Sí
ENC-00457,2024-03-09,Atención al Cliente,5,4,1,5,No
ENC-00458,2024-06-17,Soporte Técnico,7,4,2,4,Sí
ENC-00459,2024-05-22,Atención al Cliente,2,2,2,2,No
ENC-00460,2024-01-15,Delivery,3,2,2,1,No
ENC-00461,2024-03-15,Soporte Técnico,5,5,1,4,Sí
ENC-00462,2024-05-01,Soporte Técnico,6,1,5,5,No
ENC-00463,2024-04-18,Atención al Cliente,6,1,2,5,No
ENC-00464,2024-02-08,Post-Venta,2,1,1,2,Sí
ENC-00465,2024-05-06,Atención al Cliente,7,5,4,1,Sí
ENC-00466,2024-05-20,Soporte Técnico,7,3,4,3,Sí
ENC-00467,2024-05-20,Atención al Cliente,6,3,2,2,No
ENC-00468,2024-03-18,Ventas,7,5,3,3,Sí
ENC-00469,2024-02-28,Atención al Cliente,7,5,4,2,Sí
ENC-00470,2024-05-23,Atención al Cliente,7,2,5,4,Sí
ENC-00471,2024-01-21,Atención al Cliente,6,4,5,1,No
ENC-00472,2024-04-14,Delivery,6,5,4,1,Sí
ENC-00473,2024-03-12,Ventas,5,3,2,5,Sí
ENC-00474,2024-04-07,Post-Venta,6,1,4,2,Sí
ENC-00475,2024-05-25,Delivery,8,1,5,5,Sí
ENC-00476,2024-06-02,Ventas,4,4,2,2,Sí
ENC-00477,2024-04-12,Post-Venta,6,3,3,1,No
ENC-00478,2024-03-17,Soporte Técnico,3,3,1,3,No
ENC-00479,2024-01-15,Delivery,7,2,5,5,Sí
ENC-00480,2024-03-30,Ventas,5,1,5,4,No
ENC-00481,2024-01-27,Soporte Técnico,7,3,4,4,Sí
ENC-00482,2024-06-21,Atención al Cliente,10,5,5,4,Sí
ENC-00483,2024-05-29,Ventas,6,5,4,1,Sí
ENC-00484,2024-06-19,Soporte Técnico,4,1,5,1,Sí
ENC-00485,2024-01-21,Ventas,3,2,2,3,Sí
ENC-00486,2024-01-21,Soporte Técnico,3,1,1,1,No
ENC-00487,2024-03-25,Atención al Cliente,5,2,5,3,No
ENC-00488,2024-02-22,Ventas,5,1,3,5,No
ENC-00489,2024-05-30,Delivery,7,5,2,5,Sí
ENC-00490,2024-06-25,Soporte Técnico,2,1,1,3,No
ENC-00491,2024-06-24,Delivery,4,4,1,1,No
ENC-00492,2024-03-04,Post-Venta,7,3,4,2,Sí
ENC-00493,2024-01-04,Soporte Técnico,6,2,4,2,No
ENC-00494,2024-02-23,Delivery,5,3,1,5,No
ENC-00495,2024-06-28,Ventas,4,2,1,1,No
ENC-00496,2024-04-05,Soporte Técnico,4,1,1,5,No
ENC-00497,2024-04-16,Delivery,9,5,5,3,Sí
ENC-00498,2024-05-04,Post-Venta,7,4,5,3,Sí
ENC-00499,2024-02-09,Soporte Técnico,5,2,5,2,No
ENC-00500,2024-03-27,Post-Venta,6,5,2,1,No
